INDEX_LETTER;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я
к;0.1329859221535327;0.05513588548796223;0.19615016288505766;0.7151202058519307;0.09666837243687107;1.0;0.026905533054645037;0.029364730903062276;0.1006006609679511;0.04349269601157956;0.25505281112206696;0.0;0.15998723874244253;0.1437795736360619;0.3672567746205076;0.07259213696663135;0.17211778682159382;0.2759109405748849;0.1399604369656185;0.27890094636698115;0.5869069529657921;0.04996442417133156;0.22259651266096703;0.050032407684116424;0.19897577183487825;0.03216212722375968;0.0041552954613832205;0.027547316411911802;0.027383563016972496;0.01862690749936964;0.035372309190722144;0.0017739911904161563;0.023445897260292003
л;0.09409355379682001;0.07504211317433843;0.12068368809401545;0.09770612660625132;1.0;0.04529261208439222;0.004899441211052043;0.020504050267587354;0.071171988035646;0.01258984356989097;0.008823236120336145;0.09226994206134577;0.0;0.07549660462174139;0.2627328091575788;0.44644122975653905;0.10753792642877046;0.34015768873644614;0.18314561541054217;0.3053408971156353;6.124301513815054E-4;0.0;0.03978916568700413;0.02503608960035909;0.0754756333038295;0.027986596929805305;0.02740755788575694;0.0;0.01441389608810338;0.02425703736844394;0.009798882422104086;0.004899441211052043;0.005119024010426924
м;0.047876760793420396;0.19748332981219116;0.2652568642648906;0.07995369650988315;0.0853088205589295;0.03417985481313954;0.011977809991039333;0.06202589787471825;0.0774038036371243;1.0;0.021637334177361377;0.2322721693817943;0.11727526401085554;0.0;0.47471955809089433;0.1413188388458915;0.4136493905382666;0.18325556058883596;0.7421138070396281;0.17304479589422925;0.05104521892238626;0.040612590817669214;0.07573066962076482;0.014420926569856786;0.16274234229668477;0.06851664131148988;0.03736159039363499;0.016228000633021034;0.028602847105918455;0.1294612947156241;0.03245600126604206;0.021637334177361377;0.0017308318499070394
н;0.10565007244155608;0.05351167969692774;0.15694574220500437;1.0;0.12307624360308479;0.7711810794414985;0.013751148203712055;0.047194016190899135;0.10138975715749164;0.09476084451375472;0.0892741071491004;0.5115884275906638;0.4328391221646519;0.32009265436760376;0.0;0.09718813545141716;0.21968863153276524;0.6402417828952117;0.15235904617348747;0.6370935735335166;0.025593692225303544;0.054022367943154494;0.05394810216017278;0.06212198404213964;0.12003461033328079;0.15782480451203737;0.09666846149119285;0.0015970316710467827;0.046794914251636344;0.028057075670531402;0.020626722305568085;0.0;0.0020317011760439437
о;1.0;0.0018080644641297688;0.006460419297224699;0.006592672211597588;0.011365802721107949;0.10224878694955486;0.033683705958218485;0.0020126399305636622;0.002061416706943014;0.07592628462062188;0.013702795274800894;0.0056989158713569655;0.10495971325437285;0.005968124852446507;0.01239482276898866;0.0;0.02298747595099852;0.08232131832382847;0.008255790987657304;0.006527903406864285;0.03427865491799798;0.0012172360047719194;0.0;0.002120100488206942;0.002511200644624679;0.010089446145514266;0.004860402930580532;0.0029110395917076974;0.04222361635358745;0.019363256414880813;0.005699742306868384;0.0034723854538433446;0.008255272274064461
п;0.48293868764094156;0.6102363562307537;0.4564620761769898;0.0521810670825805;0.13646794363752757;0.06973823535255581;0.03496225458039044;0.03610286714116914;0.02162057741616454;0.10367568220126518;0.0;0.22187103201692013;0.2027472332654647;0.611874930690463;0.3220869334601956;0.15490956154796098;0.0;1.0;0.2560562332471343;0.15817439689251575;0.03818572486085197;0.06616748830615052;0.04422385055188613;0.052961553128687465;0.10372328968904186;0.07168501985241757;0.013885718131218899;0.027771436262437797;0.051575524487384485;0.06131640795838239;0.02082857719682835;0.00138857181312189;0.0
р;0.08496438327183439;0.06955804847283437;0.31341133846451996;0.22086432894742977;0.09058729468642367;0.021843993627980268;0.03624472352118946;0.05319350834061641;0.11062307062005304;0.032890999580506626;0.01734693979430289;0.4286347172776717;0.642999055202789;0.08094845512402828;0.19793722247824422;1.0;0.9500806985147067;0.0;0.15016618591226946;0.5783966000431677;0.0297724514638342;0.03531856713096502;0.06629342605117047;0.013483630362147342;0.0816196768345084;0.08618609314153212;0.015343599623970207;0.009816279286988814;0.10312813693813189;0.05135260009325543;0.030410812543463762;0.0031920069010138445;0.015101968133828943
с;0.16832964089410316;0.04334931068027293;0.2837050877966805;0.05142648006915441;0.0413896439049766;0.043679581784708675;0.006842300210674352;0.04013911877060527;1.0;0.021202823445153125;0.03259247987786227;0.09290151011305228;0.07692058566076675;0.5233431477199848;0.051052777167945;0.08657741310120382;0.13575684767906726;0.08716700627717926;0.0;0.14208028306471818;0.05318129588399092;0.032949929107810555;0.03507286493117962;0.17004057149672602;0.8360583327258316;0.09359105578937493;0.023847079293279096;0.011025190769153008;0.019861677000429713;0.019659570939280894;0.0049000847862902255;0.0;0.044122449532550484
т;0.08296390362920557;0.04975517345068842;0.15285608233143344;0.1565941582146358;1.0;0.09931373066436175;0.028385204842520318;0.006350707996819127;0.07514849406928169;0.6534074417830826;0.008953054968874693;0.2836316926780496;0.35485406075374903;0.060903682738427854;0.4154162857910971;0.16450194750289818;0.2689771110158976;0.45899655082336355;0.2421442174557436;0.0;0.034170862666289124;0.03294711276363965;0.002739884637308911;0.1149572684928;0.1721537582542513;0.08158222270032506;0.03481855314183023;0.030768059392490804;0.031471501568341706;0.6994668605912019;0.02604229904599483;0.01757179347394115;0.03777935596897347
у;0.5764365032189837;0.01348280336295931;0.12479792822085974;0.03528702442649507;0.025280256305548705;0.8099241116819891;0.03150585232020972;0.025280256305548705;0.07584076891664612;0.40391723437060056;0.10829445213478367;1.0;0.03960573487869297;0.022213544400048014;0.10370148116942536;0.6593403676036241;0.07834718749052957;0.04757603790835902;0.08295570939927918;0.01580016019096794;0.0;0.01053344012731196;0.016853504203699136;0.34175869366950923;0.017696179413884093;0.028034546809630682;0.0;0.04994089848596141;0.345320329490865;0.04430526970472446;0.014127202053100748;0.22774307052436635;0.040471135672816
